Stock,50 Day MA,150 Day MA,200 Day MA,52 Week Low,52 Week High,Current Price
ASHOKLEY.NS,239.48,220.71,220.1,192.70266723632812,255.25613403320312,250.89999389648438
BAJFINANCE.NS,921.11,847.51,809.61,645.8499755859375,960.75,928.4000244140625
BAJAJFINSV.NS,2013.77,1878.33,1845.92,1528.4053955078125,2103.974853515625,2036.5
BAJAJHLDNG.NS,13530.06,12213.32,11779.44,9048.412109375,14417.0,14164.0
BANKINDIA.NS,115.23,105.97,105.42,87.18680572509766,124.78280639648438,115.79000091552734
BEL.NS,389.71,318.73,310.77,243.25274658203125,432.25,408.95001220703125
BHARTIARTL.NS,1899.8,1748.82,1720.4,1425.3070068359375,2033.9000244140625,1934.199951171875
COFORGE.NS,1779.28,1676.77,1644.46,1107.0772705078125,1958.77880859375,1893.9000244140625
DIVISLAB.NS,6586.95,6075.88,6024.63,4492.22802734375,6983.5,6790.0
INDIANB.NS,610.58,551.63,546.8,463.9378356933594,650.6500244140625,633.7000122070312
INDIGO.NS,5548.29,4947.0,4801.73,3848.800048828125,5976.5,5930.5
LTF.NS,186.73,158.62,156.88,128.8247833251953,209.10000610351562,205.4499969482422
LODHA.NS,1413.47,1297.2,1277.53,1055.25,1516.0,1434.0
MFSL.NS,1507.17,1245.26,1234.06,986.5,1653.9000244140625,1582.800048828125
MAXHEALTH.NS,1199.45,1125.4,1091.28,851.9668579101562,1299.9000244140625,1261.0999755859375
MUTHOOTFIN.NS,2413.67,2249.67,2162.52,1712.986083984375,2665.39990234375,2655.5
PAYTM.NS,897.96,855.01,836.99,445.29998779296875,1020.9000244140625,988.4500122070312
POLICYBZR.NS,1806.61,1743.26,1740.17,1331.9000244140625,2215.85009765625,1860.4000244140625
SRF.NS,3059.3,2830.54,2696.68,2141.02734375,3286.5,3223.60009765625
SHREECEM.NS,30331.8,28751.49,27854.12,23892.20703125,31640.0,31080.0
UPL.NS,642.87,611.32,596.83,495.1190490722656,681.7610473632812,673.7999877929688
UNIONBANK.NS,143.83,126.55,124.33,101.25,155.38999938964844,146.22999572753906
